transaction_id,customer_id,region,product,quantity,price,transaction_date
T00001,C6114,US,Laptop,3,1204.57,2025-01-01
T00002,C5820,ASIA,Camera,4,705.34,2025-01-02
T00003,C4742,EU,Camera,5,137.15,2025-01-03
T00004,C6428,US,Camera,2,1460.03,2025-01-04
T00005,C7659,ASIA,Laptop,3,708.99,2025-01-05
T00006,C5165,ASIA,Camera,5,432.01,2025-01-06
T00007,C6303,ASIA,Laptop,1,698.4,2025-01-07
T00008,C3083,ASIA,Camera,4,1399.13,2025-01-08
T00009,C3816,EU,Laptop,5,1475.24,2025-01-09
T00010,C9361,AFRICA,Smartphone,5,884.69,2025-01-10
T00011,C7871,ASIA,Laptop,1,1014.28,2025-01-11
T00012,C9171,AFRICA,Camera,3,1057.61,2025-01-12
T00013,C1271,AFRICA,Smartphone,4,659.42,2025-01-13
T00014,C7668,US,Camera,1,1354.27,2025-01-14
T00015,C3935,AFRICA,Smartphone,3,1497.46,2025-01-15
T00016,C1602,AFRICA,Laptop,4,437.45,2025-01-16
T00017,C4430,ASIA,Tablet,3,849.44,2025-01-17
T00018,C1816,AFRICA,Headphones,3,828.94,2025-01-18
T00019,C6277,ASIA,Headphones,4,63.83,2025-01-19
T00020,C3330,AFRICA,Laptop,2,925.82,2025-01-20
T00021,C9138,EU,Laptop,4,222.54,2025-01-21
T00022,C5539,ASIA,Smartphone,3,482.27,2025-01-22
T00023,C6486,AFRICA,Camera,4,1026.7,2025-01-23
T00024,C7577,ASIA,Laptop,1,866.07,2025-01-24
T00025,C2824,EU,Laptop,1,1492.4,2025-01-25
T00026,C6261,AFRICA,Tablet,5,599.19,2025-01-26
T00027,C6005,EU,Camera,5,1436.24,2025-01-27
T00028,C8535,US,Tablet,4,1149.67,2025-01-28
T00029,C6187,ASIA,Smartphone,3,898.98,2025-01-29
T00030,C9111,ASIA,Laptop,1,1275.0,2025-01-30
T00031,C8948,ASIA,Smartphone,4,889.34,2025-01-31
T00032,C2546,AFRICA,Headphones,5,425.56,2025-02-01
T00033,C4782,US,Camera,5,1049.81,2025-02-02
T00034,C3622,EU,Smartphone,2,435.04,2025-02-03
T00035,C6987,ASIA,Camera,3,779.48,2025-02-04
T00036,C5088,US,Smartphone,2,827.63,2025-02-05
T00037,C2737,US,Camera,1,1086.35,2025-02-06
T00038,C6980,AFRICA,Headphones,3,132.5,2025-02-07
T00039,C8861,ASIA,Laptop,3,721.56,2025-02-08
T00040,C1853,EU,Camera,4,1097.19,2025-02-09
T00041,C3492,US,Laptop,3,277.93,2025-02-10
T00042,C1451,EU,Camera,3,453.01,2025-02-11
T00043,C8251,ASIA,Headphones,2,248.3,2025-02-12
T00044,C9795,AFRICA,Camera,3,673.88,2025-02-13
T00045,C4484,ASIA,Tablet,4,662.22,2025-02-14
T00046,C1569,ASIA,Tablet,3,1032.0,2025-02-15
T00047,C3356,ASIA,Camera,4,567.09,2025-02-16
T00048,C1568,EU,Headphones,3,419.63,2025-02-17
T00049,C5165,US,Smartphone,3,840.53,2025-02-18
T00050,C1683,ASIA,Laptop,2,1454.6,2025-02-19
T00051,C7671,EU,Tablet,4,157.16,2025-02-20
T00052,C8826,US,Camera,2,988.47,2025-02-21
T00053,C9839,EU,Tablet,2,227.2,2025-02-22
T00054,C3182,EU,Laptop,2,1301.51,2025-02-23
T00055,C1096,AFRICA,Headphones,3,1457.22,2025-02-24
T00056,C8777,US,Smartphone,2,1310.76,2025-02-25
T00057,C5107,AFRICA,Camera,2,990.15,2025-02-26
T00058,C5060,AFRICA,Laptop,2,734.63,2025-02-27
T00059,C5369,ASIA,Laptop,2,600.3,2025-02-28
T00060,C8624,EU,Laptop,3,712.83,2025-03-01
T00061,C3627,EU,Smartphone,3,1025.17,2025-03-02
T00062,C1393,US,Camera,4,506.36,2025-03-03
T00063,C1640,AFRICA,Camera,5,779.81,2025-03-04
T00064,C9647,EU,Laptop,1,213.71,2025-03-05
T00065,C6946,US,Camera,5,1461.16,2025-03-06
T00066,C6608,US,Headphones,3,1025.05,2025-03-07
T00067,C8740,ASIA,Headphones,2,1126.23,2025-03-08
T00068,C4141,EU,Camera,2,980.1,2025-03-09
T00069,C4346,ASIA,Smartphone,3,180.79,2025-03-10
T00070,C1799,ASIA,Camera,3,376.91,2025-03-11
T00071,C9584,ASIA,Laptop,3,971.09,2025-03-12
T00072,C8554,AFRICA,Tablet,2,941.54,2025-03-13
T00073,C7566,AFRICA,Tablet,4,1300.43,2025-03-14
T00074,C4547,AFRICA,Smartphone,4,429.3,2025-03-15
T00075,C8360,US,Headphones,2,1405.13,2025-03-16
T00076,C7297,ASIA,Smartphone,2,722.34,2025-03-17
T00077,C8070,ASIA,Smartphone,4,1182.17,2025-03-18
T00078,C2372,US,Headphones,5,1139.25,2025-03-19
T00079,C3388,US,Headphones,4,659.12,2025-03-20
T00080,C6171,AFRICA,Tablet,1,277.15,2025-03-21
T00081,C1506,ASIA,Laptop,5,672.89,2025-03-22
T00082,C1108,EU,Smartphone,4,860.41,2025-03-23
T00083,C9137,US,Smartphone,2,443.81,2025-03-24
T00084,C4786,EU,Camera,1,881.08,2025-03-25
T00085,C8551,AFRICA,Smartphone,5,101.92,2025-03-26
T00086,C8736,EU,Laptop,5,763.43,2025-03-27
T00087,C3733,US,Tablet,3,935.91,2025-03-28
T00088,C5557,EU,Headphones,4,657.86,2025-03-29
T00089,C8784,US,Headphones,3,500.81,2025-03-30
T00090,C5632,ASIA,Headphones,1,128.2,2025-03-31
T00091,C2306,US,Laptop,5,917.03,2025-04-01
T00092,C3077,EU,Laptop,1,900.71,2025-04-02
T00093,C6366,ASIA,Headphones,5,1223.38,2025-04-03
T00094,C9199,US,Tablet,2,1128.13,2025-04-04
T00095,C1774,ASIA,Laptop,1,194.81,2025-04-05
T00096,C3524,EU,Headphones,3,603.35,2025-04-06
T00097,C5822,US,Laptop,4,334.8,2025-04-07
T00098,C7021,US,Camera,5,429.59,2025-04-08
T00099,C9012,EU,Headphones,5,1485.74,2025-04-09
T00100,C4658,EU,Tablet,5,836.67,2025-04-10
